Catalog Number,Calendar Date,Eclipse Time,Eclipse Type,Eclipse Magnitude,Latitude,Longitude
9513,1940 April 22,4:26:25,N,11S,67W
9514,1940 October 16,8:01:17,N,8N,124W
9515,1941 March 13,11:55:47,P,2N,177W
9516,1941 September 5,17:47:15,P,6S,93E
9517,1942 March 3,0:21:54,T-,7N,2W
9518,1942 August 26,3:48:25,T+,10S,57W
9519,1943 February 20,5:38:23,P,12N,81W
9520,1943 August 15,19:28:46,P,15S,69E
9521,1944 February 9,5:14:57,N,16N,75W
9522,1944 July 6,4:40:01,N,21S,69W
9523,1944 August 4,12:26:51,N,18S,175E
9524,1944 December 29,14:49:35,Nx,22N,138E
9525,1945 June 25,15:14:22,P,23S,132E
9526,1945 December 19,2:20:47,T,23N,36W
9527,1946 June 14,18:39:17,T-,23S,80E
9528,1946 December 8,17:48:28,T,23N,91E
9529,1947 June 3,19:15:44,P,23S,70E
9530,1947 November 28,8:34:29,N,22N,132W
9531,1948 April 23,13:39:18,P,12S,155E
9532,1948 October 18,2:35:41,Nx,9N,42W
9533,1949 April 13,4:11:25,T+,9S,62W
9534,1949 October 7,2:56:55,T,5N,47W
9535,1950 April 2,20:44:34,T,5S,50E
9536,1950 September 26,4:17:11,T,1N,66W
9537,1951 March 23,10:37:33,N,2S,158W
9538,1951 August 17,3:14:39,N,15S,47W
9539,1951 September 15,12:27:06,N,2S,172E
9540,1952 February 11,0:39:48,P,15N,6W
9541,1952 August 5,19:47:55,P,18S,65E
9542,1953 January 29,23:47:49,T+,18N,7E
9543,1953 July 26,12:21:10,T-,19S,176E
9544,1954 January 19,2:32:21,T,20N,35W
9545,1954 July 16,0:20:51,P,21S,4W
9546,1955 January 8,12:33:20,N,21N,173E
9547,1955 June 5,14:23:23,N,24S,144E
9548,1955 November 29,17:00:00,P,22N,102E
9549,1956 May 24,15:31:52,P,21S,126E
9550,1956 November 18,6:48:16,T,20N,106W
9551,1957 May 13,22:31:28,T,18S,21E
9552,1957 November 7,14:27:30,T,16N,139E
9553,1958 April 4,4:00:15,Ne,7S,60W
9554,1958 May 3,12:13:29,P,15S,176E
9555,1958 October 27,15:27:50,N,12N,124E
9556,1959 March 24,20:11:57,P,2S,58E
