Catalog Number,Calendar Date,Eclipse Time,Eclipse Type,Eclipse Magnitude,Latitude,Longitude
9432,1965 May 30,21:17:31,T,1.0544,2.5S,133.8W
9433,1965 November 23,4:14:51,A,0.9656,1.7N,119.8E
9434,1966 May 20,9:39:02,A,0.9991,39.2N,26.4E
9435,1966 November 12,14:23:28,T,1.0234,35.6S,48.2W
9436,1967 May 9,14:42:48,P,0.7201,62.5N,168.1W
9437,1967 November 2,5:38:56,T-,1.0126,62.0S,27.8W
9438,1968 March 28,23:00:30,P,0.899,61.0S,79.8W
9439,1968 September 22,11:18:46,T,1.0099,56.2N,64.0E
9440,1969 March 18,4:54:57,A,0.9954,14.8S,116.3E
9441,1969 September 11,19:58:59,A,0.969,15.6N,114.1W
9442,1970 March 7,17:38:30,T,1.0414,18.2N,94.7W
9443,1970 August 31,21:55:30,A,0.94,20.3S,164.0W
9444,1971 February 25,9:38:07,P,0.7872,61.4N,33.5W
9445,1971 July 22,9:31:55,Pe,0.0689,63.5N,177.0E
9446,1971 August 20,22:39:31,P,0.508,61.7S,135.4E
9447,1972 January 16,11:03:22,A,0.9692,74.9S,107.7E
9448,1972 July 10,19:46:38,T,1.0379,63.5N,94.2W
9449,1973 January 4,15:46:21,A,0.9303,37.9S,51.2W
9450,1973 June 30,11:38:41,T,1.0792,18.8N,5.6E
9451,1973 December 24,15:02:44,A,0.9174,1.1N,48.5W
9452,1974 June 20,4:48:04,T,1.0592,32.1S,103.7E
9453,1974 December 13,16:13:13,P,0.8266,66.8N,69.4W
9454,1975 May 11,7:17:33,P,0.8636,69.7N,80.2W
9455,1975 November 3,13:15:54,P,0.9588,70.4S,161.7W
9456,1976 April 29,10:24:18,A,0.9421,34.0N,18.3E
9457,1976 October 23,5:13:45,T,1.0572,30.0S,92.3E
9458,1977 April 18,10:31:30,A,0.9449,11.9S,28.3E
9459,1977 October 12,20:27:27,T,1.0269,14.1N,123.6W
9460,1978 April 7,15:03:47,P,0.7883,71.9S,23.3E
9461,1978 October 2,6:28:43,P,0.6905,72.0N,159.6E
9462,1979 February 26,16:55:06,T,1.0391,52.1N,94.5W
9463,1979 August 22,17:22:38,A,0.9329,59.6S,108.5W
9464,1980 February 16,8:54:01,T,1.0434,0.1S,47.1E
9465,1980 August 10,19:12:21,A,0.9727,4.6N,108.9W
9466,1981 February 4,22:09:24,A,0.9937,44.4S,140.8W
9467,1981 July 31,3:46:37,T,1.0258,53.3N,134.1E
9468,1982 January 25,4:42:53,P,0.5663,69.3S,91.7W
9469,1982 June 21,12:04:33,P,0.6168,65.9S,13.2E
9470,1982 July 20,18:44:44,P,0.4643,68.6N,64.2E
9471,1982 December 15,9:32:09,P,0.735,65.3N,56.9E
9472,1983 June 11,4:43:33,T,1.0524,6.2S,114.2E
9473,1983 December 4,12:31:15,A,0.9666,0.9N,4.7W
9474,1984 May 30,16:45:41,A,0.998,37.5N,76.7W
9475,1984 November 22,22:54:17,T,1.0237,37.8S,173.6W
9476,1985 May 19,21:29:38,P,0.8406,63.2N,81.1E
